구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2022년09월30일,1975.55,1688.30,1826.08,1605.18
2022년10월01일,1970.44,1682.04,1822.01,1602.59
2022년10월02일,1969.24,1679.84,1820.55,1601.09
2022년10월03일,1969.57,1677.55,1820.83,1600.47
2022년10월04일,1967.50,1674.38,1817.56,1599.28
2022년10월05일,1963.90,1670.62,1815.63,1597.53
2022년10월06일,1960.07,1667.41,1814.62,1595.92
2022년10월07일,1957.46,1665.76,1814.91,1596.80
2022년10월08일,1955.75,1665.86,1818.57,1594.37
2022년10월09일,1955.99,1666.13,1819.99,1594.11
2022년10월10일,1956.76,1666.45,1821.74,1593.97
2022년10월11일,1957.15,1666.75,1824.45,1594.24
2022년10월12일,1956.83,1666.94,1828.00,1594.99
2022년10월13일,1955.80,1666.38,1829.54,1595.33
2022년10월14일,1955.22,1666.05,1831.43,1596.17
2022년10월15일,1954.53,1665.73,1833.69,1596.29
2022년10월16일,1954.68,1665.72,1834.59,1596.02
2022년10월17일,1955.53,1665.72,1836.93,1596.23
2022년10월18일,1955.72,1665.76,1840.19,1596.95
2022년10월19일,1954.13,1665.55,1842.90,1597.38
2022년10월20일,1952.86,1665.21,1845.50,1597.99
2022년10월21일,1951.99,1664.67,1848.77,1598.84
2022년10월22일,1950.24,1664.21,1851.64,1599.74
2022년10월23일,1949.83,1664.02,1852.77,1599.68
2022년10월24일,1950.71,1664.11,1855.46,1599.86
2022년10월25일,1950.07,1663.71,1857.96,1600.04
2022년10월26일,1948.82,1663.17,1860.07,1600.31
2022년10월27일,1948.56,1662.31,1862.40,1600.14
2022년10월28일,1947.93,1661.71,1864.82,1600.90
2022년10월29일,1946.17,1661.04,1866.42,1601.69
2022년10월30일,1945.75,1660.71,1867.15,1601.54
2022년10월31일,1947.01,1660.70,1869.29,1601.52
2022년11월01일,1945.99,1659.88,1872.05,1601.86
2022년11월02일,1944.18,1659.38,1874.01,1602.02
2022년11월03일,1943.64,1658.83,1875.90,1602.00
2022년11월04일,1943.05,1658.32,1877.64,1602.76
2022년11월05일,1941.61,1658.37,1879.39,1603.24
2022년11월06일,1941.61,1658.55,1880.35,1603.20
2022년11월07일,1942.36,1659.06,1882.50,1603.32
2022년11월08일,1943.60,1659.71,1884.76,1603.90
2022년11월09일,1944.07,1660.32,1886.64,1603.97
2022년11월10일,1943.09,1660.34,1888.00,1604.43
2022년11월11일,1942.76,1660.10,1888.77,1604.87
2022년11월12일,1941.56,1659.78,1888.93,1605.23
2022년11월13일,1941.60,1659.71,1888.94,1605.08
2022년11월14일,1942.46,1659.64,1889.59,1604.98
2022년11월15일,1942.22,1659.03,1889.11,1604.79
2022년11월16일,1941.42,1658.13,1888.55,1604.89
2022년11월17일,1941.50,1656.78,1887.80,1604.74
2022년11월18일,1938.66,1654.03,1885.62,1603.88
2022년11월19일,1935.13,1651.56,1883.82,1602.76
2022년11월20일,1934.84,1650.45,1882.96,1602.31
2022년11월21일,1934.21,1648.35,1881.58,1601.57
2022년11월22일,1932.01,1644.75,1878.67,1600.81
2022년11월23일,1929.17,1641.01,1875.66,1599.83
2022년11월24일,1925.76,1637.77,1872.86,1598.91
2022년11월25일,1923.41,1634.66,1870.27,1598.03
