,연도,월,그룹,계약구분,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
153,2015,2,서울,보건업 및 사회복지 서비스업,208433786.0,25304592357.0,121.63333333333333
154,2015,2,서울,부동산업 및 임대업 ,1820735477.0,247397556879.0,135.56666666666666
155,2015,2,서울,"사업시설관리,사업지원서비스업",66222274.0,9149473682.0,138.9
156,2015,2,서울,숙박 및 음식점업 ,494259734.0,63809702929.0,129.20000000000002
157,2015,2,서울,"예술,스포츠및여가관련서비스업",164944364.0,21917897163.0,133.76666666666668
158,2015,2,서울,운수업,413203710.0,51010747281.0,122.13333333333333
159,2015,2,서울,"전기, 가스, 증기 및 수도사업 ",356050759.0,42963232996.0,123.53333333333335
160,2015,2,서울,"전문, 과학 및 기술 서비스업 ",89109596.0,11757024494.0,133.53333333333333
161,2015,2,서울,제조업 ,5286742999.0,627033530262.0,121.26666666666667
162,2015,2,서울,"출판영상,방송통신정보서비스업",295034050.0,34938095166.0,120.60000000000001
163,2015,2,서울,하수폐기처리원료재생환경복원,201152177.0,23301582964.0,115.96666666666665
164,2015,2,서울,"협회단체,수리기타개인서비스업",240132369.0,32978531204.0,137.66666666666666
165,2015,2,전라도,"가구내고용,미분류자가소비생산",207902.0,28068045.0,141.4333333333333
166,2015,2,전라도,건설업 ,19209124.0,2719348045.0,141.4
167,2015,2,전라도,"공공행정, 국방 및 사회보장 행정",50660241.0,6798247040.0,136.43333333333334
168,2015,2,전라도,광업 ,11396443.0,1890317466.0,157.5
169,2015,2,전라도,교육 서비스업,98481281.0,11415459249.0,116.36666666666667
170,2015,2,전라도,금융 및 보험업 ,18528070.0,2537820411.0,137.23333333333332
171,2015,2,전라도,"농업, 임업 및 어업 ",408323923.0,19294646410.0,47.199999999999996
172,2015,2,전라도,도매 및 소매업,162013681.0,21338969815.0,131.66666666666666
173,2015,2,전라도,보건업 및 사회복지 서비스업,84402130.0,9741433460.0,115.96666666666665
174,2015,2,전라도,부동산업 및 임대업 ,172051936.0,23416286252.0,136.20000000000002
175,2015,2,전라도,"사업시설관리,사업지원서비스업",17633929.0,2475727000.0,140.36666666666667
176,2015,2,전라도,숙박 및 음식점업 ,174647463.0,22127960959.0,126.7
177,2015,2,전라도,"예술,스포츠및여가관련서비스업",47467558.0,6605803824.0,138.20000000000002
178,2015,2,전라도,운수업,65930904.0,6638332432.0,107.83333333333333
179,2015,2,전라도,"전기, 가스, 증기 및 수도사업 ",77887599.0,10007969656.0,133.16666666666666
180,2015,2,전라도,"전문, 과학 및 기술 서비스업 ",16890700.0,2339346678.0,138.5
181,2015,2,전라도,제조업 ,2842266910.0,312248745667.0,114.56666666666666
182,2015,2,전라도,"출판영상,방송통신정보서비스업",52686929.0,6477753932.0,123.13333333333333
183,2015,2,전라도,하수폐기처리원료재생환경복원,63421366.0,7487077976.0,118.16666666666667
184,2015,2,전라도,"협회단체,수리기타개인서비스업",81098407.0,10880332588.0,134.33333333333334
185,2015,2,충청도,"가구내고용,미분류자가소비생산",13297.0,1520149.0,114.19999999999999
186,2015,2,충청도,건설업 ,39570318.0,5293545298.0,135.5
187,2015,2,충청도,"공공행정, 국방 및 사회보장 행정",69456895.0,9117384058.0,132.25
188,2015,2,충청도,광업 ,32483067.0,4521019223.0,157.55
189,2015,2,충청도,교육 서비스업,136373975.0,14889427390.0,108.725
190,2015,2,충청도,국제 및 외국기관,25000.0,3231719.0,129.3
191,2015,2,충청도,금융 및 보험업 ,18070489.0,2440053827.0,135.475
192,2015,2,충청도,"농업, 임업 및 어업 ",244505161.0,11833645072.0,48.849999999999994
193,2015,2,충청도,도매 및 소매업,205527767.0,27252988520.0,132.575
194,2015,2,충청도,보건업 및 사회복지 서비스업,70736251.0,8068775019.0,113.55
195,2015,2,충청도,부동산업 및 임대업 ,204384962.0,28057295315.0,138.4
196,2015,2,충청도,"사업시설관리,사업지원서비스업",18092346.0,2514631772.0,138.075
197,2015,2,충청도,숙박 및 음식점업 ,173310534.0,22379351288.0,129.2
198,2015,2,충청도,"예술,스포츠및여가관련서비스업",42653471.0,5895760061.0,141.125
199,2015,2,충청도,운수업,69046662.0,8482500318.0,128.125
200,2015,2,충청도,"전기, 가스, 증기 및 수도사업 ",84949131.0,11000001667.0,124.75
201,2015,2,충청도,"전문, 과학 및 기술 서비스업 ",63987246.0,7929661326.0,131.175
202,2015,2,충청도,제조업 ,4064877010.0,458187296337.0,115.65
203,2015,2,충청도,"출판영상,방송통신정보서비스업",53041413.0,6469011383.0,122.175
204,2015,2,충청도,하수폐기처리원료재생환경복원,76947803.0,8926977707.0,118.9
205,2015,2,충청도,"협회단체,수리기타개인서비스업",72195567.0,9805812137.0,136.15
206,2015,3,강원도,"가구내고용,미분류자가소비생산",9573.0,1612314.0,168.4
207,2015,3,강원도,건설업 ,18280250.0,2170517690.0,118.7
208,2015,3,강원도,"공공행정, 국방 및 사회보장 행정",45696558.0,5202456830.0,113.8
209,2015,3,강원도,광업 ,29928413.0,3478291974.0,116.2
210,2015,3,강원도,교육 서비스업,35190402.0,3587275232.0,101.9
211,2015,3,강원도,금융 및 보험업 ,5071082.0,649463878.0,128.1
212,2015,3,강원도,"농업, 임업 및 어업 ",41313978.0,2090162301.0,50.6
213,2015,3,강원도,도매 및 소매업,50798960.0,6227341970.0,122.6
214,2015,3,강원도,보건업 및 사회복지 서비스업,20249636.0,2045442907.0,101.0
215,2015,3,강원도,부동산업 및 임대업 ,34870172.0,4424814916.0,126.9
216,2015,3,강원도,"사업시설관리,사업지원서비스업",3497447.0,460552788.0,131.7
217,2015,3,강원도,숙박 및 음식점업 ,83254788.0,9874978077.0,118.6
218,2015,3,강원도,"예술,스포츠및여가관련서비스업",24984746.0,3087468902.0,123.6
219,2015,3,강원도,운수업,16409267.0,2021222478.0,123.2
220,2015,3,강원도,"전기, 가스, 증기 및 수도사업 ",32593759.0,3409131576.0,104.6
221,2015,3,강원도,"전문, 과학 및 기술 서비스업 ",3196969.0,420451481.0,131.5
222,2015,3,강원도,제조업 ,529057892.0,47255171334.0,89.3
223,2015,3,강원도,"출판영상,방송통신정보서비스업",23462309.0,2524114645.0,107.6
224,2015,3,강원도,하수폐기처리원료재생환경복원,20381543.0,2230040337.0,109.4
225,2015,3,강원도,"협회단체,수리기타개인서비스업",20572569.0,2617285347.0,127.2
226,2015,3,경상도,"가구내고용,미분류자가소비생산",211014.0,35249589.0,171.5
227,2015,3,경상도,건설업 ,54917225.0,7098052051.0,131.23999999999998
228,2015,3,경상도,"공공행정, 국방 및 사회보장 행정",94759036.0,11373554584.0,119.42
229,2015,3,경상도,광업 ,28968121.0,3584805442.0,133.82
230,2015,3,경상도,교육 서비스업,197254905.0,19794896393.0,101.32000000000001
231,2015,3,경상도,국제 및 외국기관,8448801.0,955393649.0,113.225
232,2015,3,경상도,금융 및 보험업 ,36045765.0,4637277330.0,129.95999999999998
233,2015,3,경상도,"농업, 임업 및 어업 ",360389363.0,17548352350.0,49.92
234,2015,3,경상도,도매 및 소매업,376517194.0,46365504936.0,123.1
235,2015,3,경상도,보건업 및 사회복지 서비스업,141264316.0,15230895861.0,109.44000000000001
236,2015,3,경상도,부동산업 및 임대업 ,388015077.0,50201643333.0,130.2
237,2015,3,경상도,"사업시설관리,사업지원서비스업",27748644.0,3771696552.0,135.8
238,2015,3,경상도,숙박 및 음식점업 ,344443791.0,41843085178.0,121.78
239,2015,3,경상도,"예술,스포츠및여가관련서비스업",83119433.0,10826136675.0,130.06
240,2015,3,경상도,운수업,165484178.0,16898416029.0,104.54
241,2015,3,경상도,"전기, 가스, 증기 및 수도사업 ",314745607.0,32675861754.0,109.08
242,2015,3,경상도,"전문, 과학 및 기술 서비스업 ",27427028.0,3379625327.0,124.38
243,2015,3,경상도,제조업 ,7246944383.0,690125227190.0,98.6
244,2015,3,경상도,"출판영상,방송통신정보서비스업",89682897.0,9964083199.0,111.16
245,2015,3,경상도,하수폐기처리원료재생환경복원,144213550.0,15209114024.0,104.2
246,2015,3,경상도,"협회단체,수리기타개인서비스업",161875106.0,20038019717.0,123.92
247,2015,3,서울,"가구내고용,미분류자가소비생산",119883.0,15990207.0,126.13333333333333
248,2015,3,서울,건설업 ,112866704.0,13670416557.0,120.63333333333333
249,2015,3,서울,"공공행정, 국방 및 사회보장 행정",172763922.0,20138270508.0,117.5
250,2015,3,서울,광업 ,26126269.0,3286194060.0,127.76666666666667
251,2015,3,서울,교육 서비스업,339850058.0,34512392744.0,100.3
252,2015,3,서울,국제 및 외국기관,46848688.0,4927977122.0,106.65
253,2015,3,서울,금융 및 보험업 ,75888951.0,8563305700.0,114.86666666666667
254,2015,3,서울,"농업, 임업 및 어업 ",200785308.0,9894326497.0,52.46666666666667
255,2015,3,서울,도매 및 소매업,795696812.0,96333835148.0,120.90000000000002
256,2015,3,서울,보건업 및 사회복지 서비스업,192248095.0,20809737501.0,108.26666666666667
257,2015,3,서울,부동산업 및 임대업 ,1585768162.0,196779241170.0,124.0
258,2015,3,서울,"사업시설관리,사업지원서비스업",57767329.0,7418303085.0,131.03333333333333
259,2015,3,서울,숙박 및 음식점업 ,419644264.0,50995701259.0,121.66666666666667
260,2015,3,서울,"예술,스포츠및여가관련서비스업",143944272.0,17657116004.0,123.7
261,2015,3,서울,운수업,385603965.0,40766145811.0,103.5
262,2015,3,서울,"전기, 가스, 증기 및 수도사업 ",366666469.0,37770183952.0,106.26666666666667
263,2015,3,서울,"전문, 과학 및 기술 서비스업 ",85709942.0,9765442551.0,117.10000000000001
264,2015,3,서울,제조업 ,5385859213.0,537028721791.0,104.73333333333333
265,2015,3,서울,"출판영상,방송통신정보서비스업",300923028.0,30232982025.0,103.06666666666666
266,2015,3,서울,하수폐기처리원료재생환경복원,205065012.0,20120283900.0,97.46666666666665
267,2015,3,서울,"협회단체,수리기타개인서비스업",201960672.0,26406139510.0,131.36666666666667
268,2015,3,전라도,"가구내고용,미분류자가소비생산",177819.0,23095959.0,140.83333333333334
269,2015,3,전라도,건설업 ,15689637.0,2148756246.0,137.6
270,2015,3,전라도,"공공행정, 국방 및 사회보장 행정",43951454.0,5477468068.0,126.63333333333333
271,2015,3,전라도,광업 ,10089211.0,1578785411.0,149.03333333333333
272,2015,3,전라도,교육 서비스업,98868207.0,10122953592.0,102.7
273,2015,3,전라도,금융 및 보험업 ,15884695.0,2020559479.0,127.36666666666667
274,2015,3,전라도,"농업, 임업 및 어업 ",363829162.0,17329021984.0,48.0
275,2015,3,전라도,도매 및 소매업,141357081.0,17330404168.0,122.46666666666665
276,2015,3,전라도,보건업 및 사회복지 서비스업,72051085.0,7706954789.0,107.46666666666665
277,2015,3,전라도,부동산업 및 임대업 ,144319976.0,18670985166.0,129.76666666666668
278,2015,3,전라도,"사업시설관리,사업지원서비스업",14690911.0,1997185414.0,135.76666666666665
279,2015,3,전라도,숙박 및 음식점업 ,148421972.0,17886289728.0,120.56666666666666
280,2015,3,전라도,"예술,스포츠및여가관련서비스업",39583773.0,5002609988.0,126.39999999999999
281,2015,3,전라도,운수업,60632011.0,5679336203.0,98.36666666666667
282,2015,3,전라도,"전기, 가스, 증기 및 수도사업 ",96957200.0,10086821840.0,115.06666666666666
283,2015,3,전라도,"전문, 과학 및 기술 서비스업 ",16538813.0,2008943142.0,122.33333333333333
284,2015,3,전라도,제조업 ,3302874264.0,297661109250.0,94.46666666666665
285,2015,3,전라도,"출판영상,방송통신정보서비스업",48682397.0,5409778093.0,111.53333333333335
286,2015,3,전라도,하수폐기처리원료재생환경복원,63388331.0,6453105199.0,101.96666666666665
287,2015,3,전라도,"협회단체,수리기타개인서비스업",68349528.0,8833838816.0,129.4
288,2015,3,충청도,"가구내고용,미분류자가소비생산",11574.0,1202102.0,103.5
289,2015,3,충청도,건설업 ,33063522.0,4303505452.0,134.55
290,2015,3,충청도,"공공행정, 국방 및 사회보장 행정",61505245.0,7333568290.0,119.8
291,2015,3,충청도,광업 ,31534920.0,3808087015.0,138.075
292,2015,3,충청도,교육 서비스업,129900634.0,12513708725.0,97.25
293,2015,3,충청도,국제 및 외국기관,19178.0,2704689.0,141.0
294,2015,3,충청도,금융 및 보험업 ,15135893.0,1925137167.0,129.05
295,2015,3,충청도,"농업, 임업 및 어업 ",220968441.0,10735790592.0,49.725
296,2015,3,충청도,도매 및 소매업,177533749.0,22013032246.0,123.675
297,2015,3,충청도,보건업 및 사회복지 서비스업,59300931.0,6321880772.0,106.8
298,2015,3,충청도,부동산업 및 임대업 ,170064955.0,22151189071.0,132.7
299,2015,3,충청도,"사업시설관리,사업지원서비스업",15525005.0,2039796452.0,128.25
300,2015,3,충청도,숙박 및 음식점업 ,146836641.0,18016015730.0,123.375
301,2015,3,충청도,"예술,스포츠및여가관련서비스업",37554570.0,4822585952.0,121.3
302,2015,3,충청도,운수업,66283617.0,7265987026.0,120.2
303,2015,3,충청도,"전기, 가스, 증기 및 수도사업 ",86025010.0,10098209771.0,109.2
304,2015,3,충청도,"전문, 과학 및 기술 서비스업 ",64707511.0,6731795136.0,114.5
305,2015,3,충청도,제조업 ,4460560792.0,406928540734.0,93.85
306,2015,3,충청도,"출판영상,방송통신정보서비스업",50767982.0,5470613121.0,108.35
307,2015,3,충청도,하수폐기처리원료재생환경복원,77243360.0,7671855836.0,101.875
308,2015,3,충청도,"협회단체,수리기타개인서비스업",59391871.0,7828930739.0,132.25
309,2015,4,강원도,"가구내고용,미분류자가소비생산",8729.0,1357692.0,155.5
310,2015,4,강원도,건설업 ,16887524.0,1980653440.0,117.3
311,2015,4,강원도,"공공행정, 국방 및 사회보장 행정",42718497.0,4692488620.0,109.8
312,2015,4,강원도,광업 ,30599329.0,3499567208.0,114.4
313,2015,4,강원도,교육 서비스업,32348336.0,3002771845.0,92.8
314,2015,4,강원도,금융 및 보험업 ,4799417.0,558815890.0,116.4
315,2015,4,강원도,"농업, 임업 및 어업 ",40595623.0,2069650053.0,51.0
316,2015,4,강원도,도매 및 소매업,50890380.0,5552597895.0,109.1
317,2015,4,강원도,보건업 및 사회복지 서비스업,18564924.0,1775991828.0,95.7
318,2015,4,강원도,부동산업 및 임대업 ,32701230.0,3860291910.0,118.0
319,2015,4,강원도,"사업시설관리,사업지원서비스업",3203699.0,396107371.0,123.6
320,2015,4,강원도,숙박 및 음식점업 ,78961330.0,8614224538.0,109.1
321,2015,4,강원도,"예술,스포츠및여가관련서비스업",21543114.0,2698032942.0,125.2
322,2015,4,강원도,운수업,15610538.0,1899609654.0,121.7
